"Cinsiyet ve nedenlerine göre ölümler, 2020-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"Deaths by causes and sex, 2020-2023",,,,,,,,,,,,,,,,,
"Ölüm nedeni
Cause of death",,,2020(r),,,,2021(r),,,,2022(r),,,,2023,,
,,,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female"
"Tüm nedenler
All causes",,,509147,285210,223937,,566624,309386,257238,,505269,275769,229500,,525814,283641,242173
"Enfeksiyon ve parazit hastalıkları
Infectious and parasitic diseases",,,12799,6865,5934,,16872,8793,8079,,18562,9426,9136,,19591,9999,9592
,"İshal ve gastroenterit, enfeksiyoz orijinli kabul edilen
Diarhoea and gastenteritis of presumed infectious origin",,158,83,75,,153,71,82,,178,87,91,,179,72,107
,"Tüberküloz
Tuberculosis",,318,221,97,,286,193,93,,298,195,103,,311,212,99
,"Meningokok enfeksiyonları
Meningococcal infection",,11,5,6,,5,5,-,,2,1,1,,7,1,6
,"Septisemi
Septicaemia",,11187,5879,5308,,15002,7698,7304,,16728,8353,8375,,17881,8985,8896
,"HIV hastalığı
HIV disease",,105,89,16,,128,110,18,,173,143,30,,134,118,16
,"Viral hepatitler
Viral hepatitis",,290,182,108,,263,158,105,,257,150,107,,248,172,76
"İyi huylu ve kötü huylu tümörler (malign ve benign neoplazmlar)
Neoplasms",,,79916,51570,28346,,79290,50520,28770,,76929,48868,28061,,79076,49835,29241
,"Kötü huylu tümörler (malign neoplazmlar)
Malignant neoplasms",,77622,50165,27457,,77441,49356,28085,,75015,47717,27298,,77067,48603,28464
,,"Dudak, ağız boşluğu, yutağın kötü huylu tümörü
Malignant neoplasm of lip, oral cavity, pharynx",864,593,271,,847,549,298,,788,525,263,,814,558,256
,,"Özofagusun kötü huylu tümörü
Malignant neoplasm of oesophagus",753,478,275,,752,413,339,,787,452,335,,817,494,323
,,"Midenin kötü huylu tümörü
Malignant neoplasm of stomach",6065,4034,2031,,6025,4006,2019,,6017,4009,2008,,5943,3924,2019
,,"Kolonun kötü huylu tümörü
Malignant neoplasm of colon",5948,3569,2379,,6009,3524,2485,,6055,3516,2539,,6118,3637,2481
,,"Rektum ve anüsün kötü huylu tümörü
Malignant neoplasm of rectum and anus",1489,944,545,,1383,853,530,,1430,877,553,,1554,940,614
,,"Karaciğer, karaciğer içi ve safra kanallarının kötü huylu tümörü
Malignant neoplasm liver and the intrahepatic bile ducts",2580,1680,900,,2648,1704,944,,2660,1722,938,,2711,1796,915
,,"Pankreasın kötü huylu tümörü
Malignant neoplasm of pancreas",4954,2829,2125,,5067,2884,2183,,5089,2967,2122,,5321,3048,2273
,,"Gırtlak ve soluk borusu / bronş / akciğerin kötü huylu tümörü
Malignant neoplasm of larynx and trachea/bronchus/lung",23914,20142,3772,,23523,19656,3867,,22617,18849,3768,,23081,19104,3977
,,"Derinin kötü huylu tümörü
Malignant melanoma of skin",518,314,204,,505,286,219,,508,321,187,,525,294,231
,,"Memenin kötü huylu tümörü
Malignant neoplasm of breast",4407,52,4355,,4332,72,4260,,4308,51,4257,,4750,63,4687
,,"Cerviks uterinin (uterus boyunun) kötü huylu tümörü
Malignant neoplasm of cervix uteri",468,-,468,,499,-,499,,524,-,524,,516,-,516
,,"Uterusun diğer kötü huylu tümörleri
Malignant neoplasm of other parts of uterus",1080,-,1080,,1107,-,1107,,1073,-,1073,,1081,-,1081
,,"Yumurtalıkların kötü huylu tümörü
Malignant neoplasm of ovary",1632,-,1632,,1553,-,1553,,1649,-,1649,,1708,-,1708
,,"Prostatın kötü huylu tümörü
Malignant neoplasm of prostate",3620,3620,-,,3403,3403,-,,3274,3274,-,,3295,3295,-
,,"Böbreğin kötü huylu tümörü
Malignant neoplasm of kidney",942,649,293,,976,686,290,,942,661,281,,935,643,292
,,"Mesanenin kötü huylu tümörü
Malignant neoplasm of bladder",2354,1984,370,,2317,1928,389,,2311,1934,377,,2439,2037,402
,,"Lenfoid ve hematopoetik kötü huylu tümörü
Malignant neoplasm of lymph./haematopoietic tissue",6409,3745,2664,,6103,3528,2575,,5753,3384,2369,,6113,3579,2534
"Kan ve kan yapıcı organların hastalıkları ve immün sistemin  bazı bozuklukları
Diseases of the blood(forming organs), immunodisorders",,,1111,547,564,,1073,521,552,,1139,566,573,,1151,560,591
"Endokrin (iç salgı bezi), beslenme ve metabolizmayla ilgili  hastalıklar
Endocrine, nutritional and metabolic diseases",,,23401,10701,12700,,23639,10528,13111,,22948,10203,12745,,22175,9841,12334
,"Diyabet hastalığı (şeker)
Diabetes mellitus",,17979,8150,9829,,17510,7752,9758,,16281,7301,8980,,15977,7043,8934
"Mental (Zihinsel) ve davranışsal bozukluklar
Mental and behavioural disorders",,,345,162,183,,481,222,259,,402,194,208,,289,152,137
,"Demans
Dementia",,123,49,74,,204,80,124,,134,58,76,,78,32,46
,"Alkol kullanımına bağlı (alkollü psikoz dahil)
Alcohol abuse (including alcoholic psychosis)",,23,23,-,,25,23,2,,16,16,-,,17,17,-
,"İlaç bağımlılığı, toksikomani
Drug dependence, toxicomania",,3,3,-,,8,7,1,,9,9,-,,4,3,1
,"Şizofreni, şizotipal ve deluzyonel bozukluklar
Schizophrenia, schizotypal and delusional disorders",,39,19,20,,45,23,22,,54,29,25,,54,33,21
,"Ruhsal (duygusal) bozukluklar
Mood (affective) disorders",,18,7,11,,22,7,15,,14,5,9,,13,9,4
"Sinir sistemi ve duyu organları hastalıkları
Diseases of the nervous system and the sense organs",,,20366,8982,11384,,18576,8115,10461,,18219,7849,10370,,17615,7554,10061
,"Menenjit 
Meningitis ",,115,59,56,,123,78,45,,131,72,59,,143,78,65
,"Alzheimer hastalığı
Alzheimers disease",,13941,5372,8569,,12416,4691,7725,,12095,4472,7623,,11640,4212,7428
,"Multipl skleroz
Multiple sclerosis",,162,61,101,,153,75,78,,139,66,73,,103,39,64
,"Epilepsi
Epilepsy",,1312,722,590,,1408,774,634,,1376,744,632,,1400,797,603
"Dolaşım sistemi hastalıkları
Diseases of the circulatory system",,,183442,94616,88826,,189876,95703,94173,,180898,91649,89249,,175509,88626,86883
,"Hipertansif hastalıklar
Hypertensive diseases",,19804,8033,11771,,20724,8106,12618,,17841,6903,10938,,16908,6672,10236
,"İskemik kalp hastalığı
Ischaemic heart diseases",,76134,43756,32378,,79549,44804,34745,,77145,43759,33386,,74477,41782,32695
,,"Angina pektoris
Angina pectoris",154,90,64,,141,77,64,,100,50,50,,77,39,38
,,"Akut miyokard enfaktüsü
Acute myocardial infarction",51995,29031,22964,,55845,30837,25008,,53841,29946,23895,,51346,28346,23000
,,"Diğer iskemik kalp hastalığı
Other ischemic heart disease",23985,14635,9350,,23563,13890,9673,,23204,13763,9441,,23054,13397,9657
,"Diğer kalp hastalığı
Other heart diseases",,43597,21805,21792,,44171,21426,22745,,42313,20291,22022,,42329,20283,22046
,,"Kalp yetmezliği
Heart failure",27566,13166,14400,,27121,12360,14761,,25847,11834,14013,,25445,11537,13908
,"Serebro-vasküler hastalık
Cerebrovascular diseases",,35928,17002,18926,,35897,16680,19217,,34477,16106,18371,,32583,15263,17320
"Solunum sistemi hastalıkları
Diseases of the respiratory system",,,80284,46702,33582,,76126,42751,33375,,68872,38633,30239,,69319,38760,30559
,"Akut üst solunum yolu enfeksiyonları ve grip 
Acute upper respiratory infections and influenza",,185,108,77,,45,24,21,,48,22,26,,80,44,36
,,"Grip
Influenza",118,65,53,,11,7,4,,14,5,9,,52,28,24
,"Pnömoni
Pneumonia",,43982,24323,19659,,41855,22215,19640,,38292,20063,18229,,39988,20837,19151
,"Kronik alt solunum yolu hastalıkları
Chronic lower respiratory diseases",,27658,17576,10082,,23560,14759,8801,,21947,13962,7985,,22495,14323,8172
,,"Kronik obstrüktif akciğer hastalığı ve bronşiektazi
Chronic obstructive pulmonary disease and bronchiectasis",25544,16877,8667,,21858,14212,7646,,20482,13530,6952,,21086,13916,7170
,,"Astım
Asthma",2114,699,1415,,1702,547,1155,,1465,432,1033,,1409,407,1002
"Sindirim sistemi hastalıkları 
Diseases of the digestive system",,,10101,5377,4724,,11000,5808,5192,,11169,5848,5321,,11279,5928,5351
,"Mide, on iki parmak bağırsak ve ince bağırsak ülseri
Ulcer of stomach, duodenum and jejunum",,566,317,249,,651,360,291,,629,361,268,,641,362,279
,"Crohn hastalığı ve ülseratif kolit
Chrones disease and ulcerative colitis",,86,56,30,,82,52,30,,85,46,39,,91,54,37
,"Paralitik ileus ve barsak obstrüksiyonu (hernia olmadan)
Paraliytic ileus and intestinal obstruction without hernia",,1004,538,466,,1129,556,573,,1278,610,668,,1214,628,586
,"Kronik karaciğer hastalığı
Chronic liver disease",,2306,1373,933,,2527,1555,972,,2478,1519,959,,2615,1571,1044
,"Pankreas hastalıkları
Diseases of pancreas",,708,338,370,,726,362,364,,663,320,343,,703,327,376
"Deri ve deri altı dokunun hastalıkları
Diseases of the skin and subcutaneous tissue",,,307,129,178,,323,104,219,,377,163,214,,365,148,217
"Kas-iskelet sistemi ve bağ dokusunun hastalıkları
Diseases of the musculoskeletal system/connective tissue",,,1169,466,703,,1152,413,739,,1000,395,605,,968,382,586
,"Romatoid artrit ve osteoartroz
Rheumatoid arthritis and osteoarthrosis",,230,82,148,,189,53,136,,156,48,108,,168,51,117
"Genitoüriner sistem hastalıkları
Diseases of the genitourinary system",,,19582,10185,9397,,20097,10113,9984,,18799,9117,9682,,18909,9107,9802
,"Böbrek ve üreter hastalıkları
Diseases of kidney and ureter",,17893,9301,8592,,17846,9043,8803,,16530,8054,8476,,16666,8105,8561
,,"Glomerüler ve renal tübülo-interstisyel hastalıklar
Glomerular and renal tubulo-interstitial diseases",179,109,70,,154,81,73,,118,58,60,,134,72,62
,,"Böbrek yetmezliği
Renal failure",17638,9144,8494,,17615,8920,8695,,16344,7964,8380,,16469,7995,8474
,"Prostat hiperplazisi
Hyperplasia of prostate",,235,235,-,,223,223,-,,188,188,-,,170,170,-
,"Kadın pelvik organların iltihabi hastalıkları
Inflammatory diseases of female pelvic organs",,13,-,13,,12,-,12,,11,-,11,,10,-,10
"Gebelik, doğurma ve lohusalık halinin komplikasyonları
Complications of pregnancy, childbirth and puerperium",,,143,-,143,,142,-,142,,105,-,105,,103,-,103
,"Ağırlıklı olarak antenatal dönemde meydana gelen gebelik komplikasyonları
Complications of pregnancy predominantly in the antenatal period",,26,-,26,,14,-,14,,16,-,16,,17,-,17
,"Ağırlıklı olarak doğum eylemi ve doğum sırasında meydana gelen gebelik komplikasyonları 
Complications of pregnancy predominantly during labour and delivery",,17,-,17,,14,-,14,,9,-,9,,11,-,11
"Perinatal dönemden kaynaklanan belirli durumlar
Certain conditions originating in the perinatal period",,,5007,2815,2192,,5428,3039,2389,,5152,2923,2229,,4756,2711,2045
,"Kısa gebelik ve düşük doğum ağırlığı ile ilgili bozukluklar
Disorders related to short gestation and low birth weight",,425,264,161,,759,415,344,,722,396,326,,563,311,252
"Konjenital bozukluk ve kromozomla ilgili anomaliler
Congenital malformations and chromosomal abnormalities",,,3669,1962,1707,,3105,1648,1457,,2900,1545,1355,,2666,1419,1247
,"Sinir sisteminin konjenital bozuklukları
Congenital malformations of the nervous system",,566,253,313,,453,203,250,,403,173,230,,358,168,190
,"Dolaşım sisteminin konjenital bozuklukları
Congenital malformations of the circulatory system",,1614,916,698,,1471,808,663,,1372,759,613,,1310,705,605
"Semptomlar, belirtiler ve anormal bulgular, kötü tanımlanmış nedenler
Symptoms, signs, abnormal findings, ill-defined causes",,,7418,4197,3221,,7250,4054,3196,,7243,4167,3076,,5779,3179,2600
,"Ani bebek ölümü sendromu
Sudden infant death syndrome",,163,98,65,,107,60,47,,99,53,46,,92,51,41
,"Bilinmeyen ve tanımlanmamış nedenler
Unknown and unspecified causes",,2906,1848,1058,,2855,1856,999,,2902,2012,890,,2154,1455,699
"COVID-19
COVID-19",,,22274,13776,8498,,65366,35778,29588,,22054,12352,9702,,1717,978,739
"Dışsal yaralanma nedenleri ve zehirlenmeler
External causes of injury and poisoning",,,17824,13301,4523,,18223,13472,4751,,19566,14286,5280,,64540,35249,29291
,"Kazalar
Accidents",,12985,9553,3432,,13083,9485,3598,,14264,10290,3974,,59436,31400,28036
,,"Taşıma kazaları
Transport accidents",4633,3710,923,,4912,3818,1094,,5089,3924,1165,,5500,4171,1329
,,"Kaza sonucu düşmeler
Accidental falls",3414,1843,1571,,3219,1724,1495,,3510,1915,1595,,3277,1702,1575
,,"Kaza sonucu zehirlenmeler
Accidental poisoning",1262,1060,202,,1152,951,201,,1063,878,185,,707,572,135
,"İntihar ve kasıtlı kendine zarar verme
Suicide and intentional self-harm",,3710,2845,865,,4194,3263,931,,4218,3173,1045,,4061,3062,999
,"Cinayet, saldırı
Homicide, assault",,1014,847,167,,839,655,184,,940,754,186,,827,676,151
"Bilinmeyen
Unknown",,,19989,12857,7132,,28605,17804,10801,,28935,17585,11350,,30007,19213,10794
"Kaynak: TÜİK, Ölüm ve Ölüm Nedeni İstatistikleri, 2020-2023",,,,,,,,,,,,,,,,,
"Source: TurkStat, Death and Causes of Death Statistics, 2020-2023",,,,,,,,,,,,,,,,,
- Bilgi yoktur.,,,,,,,,,,,,,,,,,
- Denotes magnitute null.,,,,,,,,,,,,,,,,,
