"İllere göre kaba ölüm hızı, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
"Crude death rate by provinces, 2009-2023",2009,29.81230326214188,29.9454853538127,29.86651843783098,29.76497986488249,29.9922938926152,30.130820768519637,30.264478234264647,30.26624064475639,30.186871438879155,30.240971729820266,10.751777628998838,10.02229799082125,10.031710665476211,(‰)
[İkametgah yerine göre-By the place of usual residence],2009,29.81230326214188,29.9454853538127,29.86651843783098,29.76497986488249,29.9922938926152,30.130820768519637,30.264478234264647,30.26624064475639,30.186871438879155,30.240971729820266,10.751777628998838,10.02229799082125,10.031710665476211,(‰)
               Sağlık Bakanlığı,2009,29.81230326214188,29.9454853538127,29.86651843783098,29.76497986488249,29.9922938926152,30.130820768519637,30.264478234264647,30.26624064475639,30.186871438879155,30.240971729820266,10.751777628998838,10.02229799082125,10.031710665476211,(‰)
               Sağlık Bakanlığı,Yıl-Year,29.81230326214188,29.9454853538127,29.86651843783098,29.76497986488249,29.9922938926152,30.130820768519637,30.264478234264647,30.26624064475639,30.186871438879155,30.240971729820266,10.751777628998838,10.02229799082125,10.031710665476211,(‰)
İl-Province,2009,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020(r),2021(r),2022(r),2023
Türkiye-Türkiye,5.131969389001872,5.010394143459004,5.067954876390878,5.008524914588069,4.898918448197412,5.067134665953477,5.184554951423658,5.335202738940237,5.3149378694761324,5.242595024161467,5.287320943853101,6.1060017625899725,6.733714357561071,5.945746261237053,6.1624149225854055
Adana,4.403522524516668,4.434048768749769,4.434398418704683,4.393497133032939,4.567129718975554,4.548009145150879,4.765494179722873,4.972590771333119,4.952757322360402,4.85416760582428,5.113877881995888,6.010686158475917,6.568642692064357,5.888291714407934,5.96425845941514
Adıyaman,3.7680798812483918,3.901950975487744,3.951501688798565,3.873218117848085,3.8878103392609296,3.9898947213391582,3.976315353291538,4.3700515471565,4.086295244622866,4.08361158416217,4.385368887382513,5.201267113821009,5.394561314305551,4.513472162055745,17.99302824584505
Afyonkarahisar,6.664803019394562,6.317888890080314,6.665305815490068,6.691982027329752,6.277501273855108,6.747817818823426,7.066623521781337,6.923594593189644,6.860502189879011,7.115990788621909,7.133770568866658,8.51475898376631,8.613920414073139,7.718534269514539,7.047839781065969
Ağrı,3.938888343638564,4.130826804434989,4.679722387496685,4.146647254267824,3.615502622825148,3.641610304085363,3.5453587988820447,3.4457279490392074,3.423146104919613,3.4611531104836506,3.227197691884416,4.120809903381192,4.518531166073472,3.361441942681619,3.407498453805986
Amasya,7.068523002794999,6.894730932518428,7.442256389988827,7.357111202704838,7.410051842423866,7.771513767879607,7.828220096882376,7.740725777850422,7.597841640012252,7.701574477521592,7.632073068881162,8.860913657332457,10.402116796481945,9.130074614235792,8.203058147289154
Ankara,4.633826104452289,4.382904866830713,4.378320596435187,4.4050409706957945,4.363963289005432,4.397971389351118,4.531388502076695,4.697519368060542,4.747791418910955,4.77212051389847,4.742323496209884,5.84070743217503,5.8066821276655025,5.358724189283072,5.150457453528972
Antalya,4.056095203921456,4.110760680563829,4.089695821413963,4.173094949515464,4.044413266014272,4.12159621916136,4.222993568192368,4.47042469684391,4.475648690983562,4.527890402174856,4.610721304092137,4.878253156912005,6.055176523855778,5.361130223315115,5.097085891023323
Artvin,7.761226382148577,7.356079663618283,8.201646972849408,7.778670728928019,7.680966422524493,7.704832924296772,7.922045650862018,8.32842901218055,8.719042760411837,8.390341993161899,8.3796047958015,9.56001598232543,10.02229799082125,9.865878340502617,9.392583662756504
Aydın,6.394964659541153,6.410305243682507,6.652505624615076,6.712854937717629,6.353643752053023,6.545040660495527,7.080938303065877,7.215687309533662,7.199296077100218,7.344216544224807,7.513860981800303,8.15674583956636,9.171302840733828,8.521333127690301,7.7378532717041075
Balıkesir,7.718596293717166,7.793551584185712,7.802701508733278,7.805463824677274,7.810657407040781,8.17155068972174,8.646550871410863,8.786065843455606,8.932111620158269,8.809742868200571,8.879946399369501,9.130363460724489,11.084369272891873,9.98963400047843,9.420376601718852
Bilecik,7.519672089669307,6.868768160358599,6.527968688115928,7.221207701641072,6.876446717223077,6.924331384173843,6.9384256167621,6.636356459185712,6.913793495306711,7.116846122913865,7.207451312447079,8.335159217061058,9.054895302773062,7.846706943219688,7.343491026446638
Bingöl,4.806226994584202,4.6700527485002405,5.0750531952929165,4.539131429006993,4.261194157050571,4.026090571987064,3.9309606285035903,4.180764014129641,3.989582143764943,3.945477397355376,3.7717217125327753,4.729513159300546,4.953264410140207,4.05891795187283,3.928118251846585
Bitlis,4.144122700210258,3.995399053032608,3.5317580189692976,3.332952452747312,3.478601264218004,3.370957923750591,3.3133275949486496,3.3183017102016508,3.3719106077495358,3.3117663236209416,3.4608773194974702,4.268290066355891,4.137807473932523,3.6870013380246798,3.4830854588888034
Bolu,7.235019715891323,7.078726418831402,7.116852956104828,6.82943976355217,6.744884656804398,7.014086241938464,7.466781504608567,7.214999890015245,6.960933872786363,6.9659216187475,7.144040156958671,8.181599168209369,8.859260006048997,8.073803363720627,7.540120784432779
Burdur,7.21862493411652,7.162756799329178,7.275297166246233,7.740637156642924,7.716845709996716,7.799052833234468,7.623676094690404,7.988609689460115,8.061879965030975,8.180211518500855,7.878355236147223,9.065084181093463,9.48580642298191,9.059112535729614,8.272093837471497
Bursa,5.610239022276484,5.519632903683763,5.507433875511377,5.374981953250915,5.385013946036767,5.476340908552378,5.617676177593025,5.734736573813494,5.698332653614582,5.61291205808349,5.522059563606566,6.30761553392824,7.068234690225102,6.231890136093784,5.899560497409152
Çanakkale,8.312633985843958,8.12699094751542,8.185561226892373,8.180497400360766,7.887399738358406,8.267282505586135,8.420387248068783,8.570040285190498,8.653507393759345,8.393405154988569,8.378131525213355,8.710857659602935,10.855241603750919,10.031710665476211,9.126616761750343
Çankırı,8.26336427479563,8.514471855550612,8.24075581427986,8.179925169447234,7.897366212381599,8.470887333459737,9.004238741272172,8.875488247790036,8.60647539964428,8.190122156069537,8.399834041407154,10.911423250398617,11.050462407087927,9.732819076121453,8.453224411676016
Çorum,7.273410253482951,7.043896110895829,7.24871329731407,7.201144517933818,7.171003384947108,7.53705277069763,7.521854808057772,8.007270358380426,7.819859223599691,7.685192575863574,7.961796866436126,9.300747415150001,9.456573596564963,9.030742223051526,8.385899602938197
Denizli,5.676180106474468,5.619462001899703,5.866279352073341,5.875842321174323,5.560022591183691,5.711155185658884,6.208477888509043,6.438804099185195,6.422573949502624,6.053211383047392,6.493978179071085,7.598202801277883,7.753453561258735,7.187096063942662,6.895104220734098
Diyarbakır,3.5321039457231587,3.5407719329598955,3.487208139872854,3.377688414250532,3.2935325746561137,3.295003677734824,3.166077068165208,3.375694816992079,3.18112551956407,3.049269920406072,3.2223585015717666,4.105900247020721,4.257016608463009,3.320678495089194,3.588725737390398
Edirne,7.492656057976958,7.985840275559841,7.873437468344173,8.022287190372253,7.493517393428453,8.169120574016539,8.821437513156797,8.49997140150055,8.800874645664617,8.57544694843368,8.594298009161275,9.205686982301811,11.228499849977679,10.287495963494266,9.59710145969397
Elazığ,5.144646517256419,5.188011017725704,5.06118599498561,5.010439158124929,5.123162814715521,5.301708367341195,5.408304222799038,5.676905505453593,5.596751716188084,5.201350960604897,5.580011055533833,6.9699709429052685,7.372148075588751,6.3768189659922765,5.7211758764052085
Erzincan,6.406672752534009,5.8096418148170965,6.246791420770241,6.284008560287929,6.211719138946109,6.527977206179037,6.776381645097649,6.548613431339793,6.351315614051576,6.313830754258949,6.495589244255822,7.187037755393476,8.181744958476585,7.289529013332663,6.48126276879214
Erzurum,5.373185968780783,5.181132280864541,5.631214788777831,5.160861606037553,5.074683285391385,5.090033064300555,5.326285803803123,5.476461319047825,5.429238941029111,5.36404584368236,5.362406938970265,6.32358135444614,6.72398909166748,5.727950873695033,5.364904880623198
Eskişehir,6.529670056626987,6.492058281157176,6.576398066800317,6.431584528805593,6.346753705942972,6.57798422375568,6.83206470144646,6.782893563968465,6.675024128359353,6.706290019615349,6.647098760307553,7.271281982859907,8.432198576877646,7.694242503819974,7.034991095121663
Gaziantep,4.2408002956618605,3.925551650606824,3.7708877392303455,3.7335843028475546,3.8337034398500975,3.8463763396166586,3.817547003612905,4.089009953713186,3.834403037972902,3.86854195679905,4.018617217925063,4.908739219872049,4.917301751186138,4.139122503228511,5.802900987336114
Giresun,7.387159712953371,7.059668345388745,7.425299909150954,7.763514342955689,7.203734006502779,7.576687941744416,7.991408593740879,8.278683537794166,8.46392851473023,8.237359826322077,8.467137752795043,9.160414258500248,11.242942567097762,9.946549228870518,8.812436032584754
Gümüşhane,6.541055031009022,6.201217219122466,6.24446547986198,6.367950969767182,6.065908006420174,6.435806995291297,6.071147943935904,5.762281170880695,5.581417095500677,5.346613761222633,6.06840244569452,7.145119733005033,8.402411067058232,7.744440258871999,6.755765431635407
Hakkari,3.4733608744331534,3.499565998704885,3.541770541409487,3.0825124468665046,2.824475654719605,2.850755832580899,2.976244095254224,3.2821796307273483,3.1679219388712485,2.895606965820099,2.7103184183582663,3.4371911202927845,2.9924901383847713,2.5074473716062298,2.4797587031359356
Hatay,4.40227067430081,4.191890102694138,4.340065669552598,4.351064286552236,4.267529145489731,4.530084005369675,4.522911444931015,4.6647879736016,4.722732719331228,4.578846007732297,4.699343882670783,5.837819557972809,6.023966136061155,5.194302235343359,17.070074656040227
Isparta,6.027100218651412,6.162739588583054,6.501129088364399,6.553868304207714,6.641603859848018,6.73955297565967,6.99307354981167,7.012213075174599,7.12996746226575,7.239140717652947,7.114763642271578,8.162960988140776,8.277820542629534,7.838357446607923,7.205882681526797
Mersin,4.735809526862972,4.659468673404511,4.726407019884566,4.717100788561016,4.675056704465709,4.801008089357824,5.049422947775593,5.291734499397995,5.091677380603024,5.073164026483767,5.13995895365473,5.741966827187234,6.74219700407085,6.067900924918918,5.981600702081887
İstanbul,4.1980574818636125,4.035941830379709,3.955740203888218,3.980933790118847,3.9100192977335486,4.065459867959633,4.13942718808676,4.247705908209174,4.249539952724715,4.159490553114095,4.151176557380228,4.933296309349364,5.383704594958393,4.652199854413629,4.4314584315138745
İzmir,5.722646571383166,5.555217268275061,5.80560216727655,5.840898863097315,5.488355406219747,5.740783196189547,5.951588162850464,6.247408233595013,6.24092843865537,6.157999189785907,6.350766652432097,6.8340990499256025,7.758985534012139,7.346662773709488,6.893635476768594
Kars,5.001099142668719,4.977790636887598,5.3232727757559,4.83477896281544,4.645902640768044,4.814678407607057,5.048156082060544,5.013340292490634,5.160709337766694,4.957227005612871,5.161173487866715,5.565169821840924,5.58303886925795,5.14835241929391,4.89185847235178
Kastamonu,9.788308732976326,9.06462148686975,9.853241624952668,9.75864651936512,9.135857760876824,9.92672998643148,9.952261509830894,9.984284490740125,10.083836235083105,10.22830421861313,9.924250568317383,10.751777628998838,12.702651306104377,11.182064117753981,10.551358679711383
Kayseri,4.866420277643668,4.767011005427935,4.910040160642571,4.653171914823321,4.657002252246119,4.895078982523414,5.10469199138555,5.314743951562127,5.102894979058392,5.177121763214456,4.990188013323852,6.108459084636094,6.884906989675791,5.64209911401032,5.46410612890109
Kırklareli,7.562813282974269,7.910266228208477,7.937710812939271,7.504949245469367,7.938079459999384,8.224679298885547,8.521838840821433,7.983889090068517,8.311032110934333,8.34972311726716,8.141735944297464,9.02465957132176,10.638648537288834,10.245884927485015,9.141289452286193
Kırşehir,6.455274012699709,6.391327211682375,6.584012770636567,6.159774232063389,6.174852206059271,6.553041763315068,6.42025212539792,6.366112961186468,6.574755007491862,6.792654025948946,6.749091389132973,7.806905633976706,8.432341672393855,7.422101780032536,6.898543414860341
Kocaeli,4.4039264914699645,4.400907561476779,4.206387510128538,4.302914555660577,4.26531452390639,4.285970243574796,4.434674622093438,4.509216309726276,4.502910844842358,4.553441587519306,4.519324894427307,4.990515893378036,6.060487275284014,5.160834749944864,4.668124827982159
Konya,5.225936980368415,5.12514601200044,5.207284572105419,5.019023006544384,4.883933364734312,5.15755248346897,5.083324055185793,5.295156141400194,5.447025557348094,5.320859016844978,5.3555860849399375,6.794583430193776,7.170252860756385,5.791797897565118,5.718075773709935
Kütahya,7.153103487072027,7.0188419513034495,7.442239079981988,7.40978390327727,7.2720606208750915,7.603970923730317,7.837153778115287,7.99402674863877,8.241571239324966,8.028189953547088,8.187017260658937,9.140573297172445,10.345114114779525,8.958537651993675,8.282780239974056
Malatya,5.257456960180815,5.176216745954558,5.23564751266705,5.180570099506938,5.105895190779223,5.212514734851007,5.331784280572181,5.489609183835636,5.5625674035591,5.314097512679073,5.413219751302434,6.8678676304424835,7.152375951173112,5.770777512965128,7.378617055818633
Manisa,6.42049120570905,6.268253670280858,6.501056421668521,6.606269888423802,6.286163086163087,6.789696146614611,7.000037478108964,7.247297835928349,7.057686408402035,7.087667851931484,6.926216286084786,8.143947189203756,8.427918969249893,8.011200363772497,7.4246050010275155
Kahramanmaraş,4.152334853727207,4.0349477766727,4.096185564161663,4.144737090674153,4.127393776181927,4.176013422372345,4.135158085839989,4.501087249756025,4.37896187803453,4.350324800195733,4.493349798799715,5.510137731912594,5.709007331175856,4.882630387263947,14.754665757649995
Mardin,3.5054270971261277,3.5886345515353555,3.33147956535659,3.202219303227788,3.1157342648335487,3.353022245963943,3.311076591823722,3.628765943341026,3.3039510422452416,3.2838818876402303,3.301012666272176,4.266917981404126,4.161928600915414,3.456172672463882,3.261620874373596
Muğla,5.237780029551922,5.342357847845895,5.447428988656424,5.308176711144153,5.119308887478825,5.258992013282049,5.678207549576186,5.825444029138134,6.001533403059503,5.817741541192652,6.010368963037052,6.378297457300337,7.512683526599055,7.310592917693974,6.7331120169500425
Muş,5.148412510988597,4.555258390130273,4.221073233429732,3.7996729334296337,3.366379555662117,3.377160344708286,3.475847131023582,3.557282677628004,3.649612536912256,3.239241092086997,3.376587442963463,3.897912738466642,4.201654937557038,3.6000646420446776,3.4890079979376307
Nevşehir,6.094844835997766,6.451704033815828,6.248408724433506,6.041126809127484,6.343643213878909,6.450822969687429,6.37328386417855,6.882917692352968,6.823714981311936,6.537961483247108,6.655037257898492,7.750356924332041,8.483355493380536,7.13252450591734,7.098984832389517
Niğde,5.410042926553139,5.307943326861911,5.661125948208988,5.193096132766224,5.281257676246622,5.299931932817109,5.8433766369280535,6.109675995080148,5.870533019973161,5.6785711298879065,5.9238449189629,6.430948006157819,7.227926304361005,6.703751248038796,6.004048490300997
Ordu,6.197735629355725,5.843251148895466,6.264068868484548,6.338952616535269,6.159599626024309,6.638639298766246,6.892294819011889,7.002190550151838,7.380123234259633,7.031757153432704,7.127833146586464,7.845088209406451,10.133537239074226,9.054749741152264,7.924677873150572
Rize,5.859347490293108,6.310954527961251,5.769868155089326,6.128276603766588,5.846492028137968,6.1794815679408615,6.615479432507841,6.766389859808765,7.258842844391011,6.58575235158148,7.094330895319592,7.731565176541769,9.138852295799694,8.229927589396791,7.415171873605156
Sakarya,5.896563762871732,5.826657795417777,5.962207935833881,5.696822075660186,5.612099096524587,5.721917820806572,5.790378744855868,6.107363808325765,6.132692681131498,6.015251030279162,6.07052711544588,6.692084491668431,7.828763622966212,6.588645446239904,6.127091467935608
Samsun,5.7268174411867845,5.671318447687342,5.754621225975495,5.874291128526182,5.854709627727039,6.226402648867466,6.3814942940295465,6.55560520550615,6.6801665212040096,6.466553856864446,6.541845083445778,7.2305879455938555,8.864272428248196,7.607960107483788,7.0159364377862765
Siirt,3.6424439174666623,3.872139953037893,3.877852553246843,3.418379745939065,3.286231744934659,3.4718324666927005,3.394304519842121,3.446264861628422,3.078549372699201,3.341137450004878,3.223808444746582,4.082558403266046,4.180680190030918,3.3318709284461874,3.0734187584625827
Sinop,9.131056789201967,9.0424241223748,9.43891445090409,9.36345334843621,8.958334873201126,9.425706561328203,9.930039470561027,9.52611135931408,9.900582458434748,9.401629366045512,9.333844776882753,11.31807233904528,12.739497962600144,11.743892970740449,10.192779374715602
Sivas,6.502385605227216,6.332850151030401,6.252363544686752,6.356994413041513,6.53861478531842,6.627423933789919,6.929025805064374,7.015415686366236,7.13225086014366,6.62981333833895,6.697449524099928,8.15471684793053,8.797100651724437,7.7290733215582454,7.030128566704919
Tekirdağ,5.755166072317935,5.524152675540131,5.393180022874946,5.576051275893268,5.246711250199792,5.598450938043697,5.501338471096289,5.562111906886436,5.515740990669946,5.649040233075724,5.431251225819878,5.9453015408076,6.845404232922375,6.363895487778226,5.785642841988127
Tokat,6.834745895809993,6.621903479276566,7.085876285885094,6.703815546077891,6.826101799458728,7.081565866752241,7.084427515500332,7.45580168670591,7.473762147768662,7.297082813328372,7.44903879816516,8.341263233020102,10.02309176393753,8.358485797996865,7.945899410663893
Trabzon,6.012777151446825,5.690585221092318,6.090461498408683,5.940929918541548,5.777849597826052,6.49959115263482,6.278013469263594,6.444001664302014,6.552958571378388,6.342877967970725,6.424731132918582,7.293591424384977,8.676243487444623,7.759188649709092,6.6233351092168355
Tunceli,6.099935107073329,6.922884326489735,6.219051563726732,5.579614563027466,6.103526999953408,6.431915326684307,6.546815524643257,7.226524196376041,7.15278916273506,6.455921638468388,7.104097004477664,8.95879312088422,8.330939385234128,7.8804363999976195,6.494590719874713
Şanlıurfa,3.6669206430066112,3.68251519327407,3.659577615859748,3.507431298189447,3.28838920835958,3.2470247258026887,3.193162523037132,3.33894520326005,3.111262791680886,2.973471501869174,3.177575051290655,3.4944985163063067,3.821734429614238,3.1225583277109656,3.3370787080692526
Uşak,6.803279544935527,6.2028939913545305,6.601254149760236,7.032258064516129,6.556548781390784,6.779057052992455,6.946549998790048,6.988075033999079,7.118903091997176,7.115504071755736,7.392723533006422,8.787175211030053,8.2088185549463,7.982506875829008,7.527360440159212
Van,3.6690566192278107,3.5301069917890024,4.046745547753833,3.33187595896278,3.437180738970297,3.2463450784100423,3.2026559862580943,3.0820541139504147,3.0393084802959205,2.9910228966568417,2.926733025412944,3.69887743269211,3.7208173223650287,2.894574061444273,2.9729285340422034
Yozgat,6.33201279165393,6.067707981952565,6.334732085216269,6.198668635672598,6.289125963036343,6.731518264176164,7.274647887323944,7.386246684933984,7.23123148872621,7.396598749927397,7.322310474945669,8.611261521251466,9.221640530327903,7.988606139971469,7.879486284188234
Zonguldak,6.198732326954073,5.945873991036817,6.015701532900092,6.120106683468246,6.087274665713099,6.498034344610756,6.6543735137519535,6.891056123060319,6.915513522926686,7.407716928939736,7.212203878566692,7.786014317034979,9.391237780382221,8.421363544543599,8.122020132169267
Aksaray,4.896288319141678,4.867366902965489,4.968743719656023,4.7078174547735845,4.426258094375269,4.880986835415314,4.815988250649354,4.818772528144619,5.178474665144911,4.876156429848165,5.045025038048904,5.801915227704324,6.529903295465215,5.6233210071869,5.332972294474614
Bayburt,6.410213784619477,5.431794101473961,5.624073681981792,6.031956255204201,6.749572372983218,6.477753525318927,6.320802729380422,5.749715477996965,6.167519683885304,6.134328266468336,5.768413746058151,7.400166713642333,8.02625904451579,6.1908165616157556,5.754956309311284
Karaman,5.657800470545456,5.829861895996814,5.970366751100425,5.939130305115364,5.437687356214997,5.728610226614621,5.922604122198782,6.006486185081775,5.992500233605941,6.374038529037176,5.9700074427148495,6.965788924789157,7.47435071444282,6.496355421454907,6.512982137889245
Kırıkkale,6.251796364960663,5.869258324498952,6.50062812817803,6.23591325750065,6.101367893189657,6.922583600549703,6.465162931341817,6.675725711575818,6.857865439986493,6.488004797019904,6.79050382799731,8.295948159225237,9.097284696694077,8.072128372880252,7.562323424367881
Batman,3.336674752494373,3.2652316310883376,3.131345444423934,3.094349317656304,3.00059346303243,3.022148548554345,2.914004835326705,3.104416841854885,2.8653763581496725,2.867383512544803,3.094980633601653,3.8635015464584432,3.877756805126275,3.028212022430025,2.953898584375702
Şırnak,3.5081556476536884,3.204990395487448,3.182052592821127,2.9060119202706223,2.7891071991441647,2.868636961858329,2.9944339478118773,3.437470481697626,2.7294169138744344,2.6746451812587964,2.4615559804707705,3.2116112676214685,2.873608268909237,2.3673376236422223,2.332609562635707
Bartın ,7.420743304879125,7.097156618563716,7.732322976464408,8.218733282409834,7.712375024829504,7.782450653028446,7.950267420477594,8.118048431598263,8.430794422306628,8.186949788066514,7.904382149186401,8.176664283484548,9.84801217899124,9.420780028736344,8.836086694967474
Ardahan,6.633062778173503,7.012353538710719,7.035869784743717,6.305523638707507,7.000119374477737,7.397183569018277,7.167348081209952,7.965587044534412,7.429732232859679,7.703963714841101,6.737129636235768,8.497002274136863,8.194962662159263,7.982370486572436,7.620075553157043
Iğdır,4.174024723069513,4.272853787944681,4.1363605920567945,4.007741268661046,3.891469489251194,3.890399498012968,4.088522228088563,3.982140075800841,3.9013314067499225,3.977248101246459,3.965754425570298,4.197067542344968,4.563963478402761,4.213859516709157,3.9242062071167965
Yalova,6.260892177135242,6.163358538122242,6.254326355916505,6.081265209139109,5.6769640744488,6.479549342193644,6.33265364301678,6.640346848573969,6.658983744126217,6.586981460237575,5.907616136231503,6.643194290582166,8.055712801846747,7.375701049147504,6.594433991612226
Karabük,7.382500942936258,7.194502593158723,7.528982559049309,7.471795321361378,6.855571853946895,6.993309993413984,7.140554033537542,7.301935012778387,7.173377156943302,7.172054168096542,7.065856684767722,7.986636102033849,9.34467570566909,8.465228535240204,7.719298245614035
Kilis ,6.203336144305724,5.8555123777213245,5.904995011854419,5.772353801874809,6.1287593018750055,6.030299144801004,5.781772768621162,6.057824690224874,5.734734824663853,5.450763824141146,5.9853138781395705,6.568938804411074,7.172109847618653,5.9371223339971735,5.390995651571439
Osmaniye,4.3352539433726145,4.456244578218238,4.526331722266111,4.253743253141714,4.31432849434375,4.309059165549797,4.766201161148596,4.766928683500669,4.827130990695296,4.554959379139642,4.7839399761828,5.604631592500793,6.801214269114571,5.643567115569072,6.808877860046496
Düzce,5.797214986584148,5.59892120520863,5.876525353723318,6.107699389665703,5.478494330961802,5.940106752204204,6.372069050768434,6.3413519368218525,6.077694486892047,6.119244265494726,6.115306214022896,6.717057289187594,7.805135221645505,6.78073754476763,6.377945413229021
Kaynak: Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü,2009,29.81230326214188,29.9454853538127,29.86651843783098,29.76497986488249,29.9922938926152,30.130820768519637,30.264478234264647,30.26624064475639,30.186871438879155,30.240971729820266,10.751777628998838,10.02229799082125,10.031710665476211,(‰)
               Sağlık Bakanlığı,2009,29.81230326214188,29.9454853538127,29.86651843783098,29.76497986488249,29.9922938926152,30.130820768519637,30.264478234264647,30.26624064475639,30.186871438879155,30.240971729820266,10.751777628998838,10.02229799082125,10.031710665476211,(‰)
Source: General Directorate of Civil Registration and Citizenship Affairs,2009,29.81230326214188,29.9454853538127,29.86651843783098,29.76497986488249,29.9922938926152,30.130820768519637,30.264478234264647,30.26624064475639,30.186871438879155,30.240971729820266,10.751777628998838,10.02229799082125,10.031710665476211,(‰)
              Ministry of Health,2009,29.81230326214188,29.9454853538127,29.86651843783098,29.76497986488249,29.9922938926152,30.130820768519637,30.264478234264647,30.26624064475639,30.186871438879155,30.240971729820266,10.751777628998838,10.02229799082125,10.031710665476211,(‰)
(r) Ölüm verileri güncel idari kayıtlarla revize edilmiştir.,2009,29.81230326214188,29.9454853538127,29.86651843783098,29.76497986488249,29.9922938926152,30.130820768519637,30.264478234264647,30.26624064475639,30.186871438879155,30.240971729820266,10.751777628998838,10.02229799082125,10.031710665476211,(‰)
(r) Death data were revised with updated administrative records.,2009,29.81230326214188,29.9454853538127,29.86651843783098,29.76497986488249,29.9922938926152,30.130820768519637,30.264478234264647,30.26624064475639,30.186871438879155,30.240971729820266,10.751777628998838,10.02229799082125,10.031710665476211,(‰)
